operating_hours,temperature,vibration,pressure,age_months,maintenance_count,load_percentage,rpm,humidity,power_consumption,failure
4494.5,71.5,2.99,125.0,86,11,81.3,4549.8,76.8,750.1,1
11408.6,77.9,2.66,162.0,2,4,49.0,1181.8,39.2,1322.2,1
8783.9,108.4,1.41,134.4,4,4,12.1,929.5,59.6,1356.5,0
7183.9,67.2,4.86,62.5,45,13,15.4,3438.2,43.6,771.3,0
1872.2,109.6,3.81,77.8,13,16,71.0,2236.6,36.9,372.2,0
1871.9,47.1,6.93,82.9,55,15,43.5,2888.3,92.7,1149.3,0
697.0,102.1,0.26,88.7,32,3,88.1,3436.6,88.4,1287.8,0
10394.1,107.8,5.15,134.8,22,7,76.1,737.8,53.4,1734.4,1
7213.4,54.5,6.1,125.6,89,2,12.0,1818.3,30.3,1020.4,0
8496.9,74.4,6.08,80.5,91,20,71.8,2574.1,74.6,1326.8,1
247.0,53.2,7.09,60.1,55,4,27.3,1699.6,39.2,203.4,0
11638.9,96.5,5.83,75.7,17,6,48.0,720.4,32.6,1799.6,0
9989.3,82.8,7.42,197.7,70,17,66.2,890.0,48.6,721.7,1
2548.1,90.8,2.66,120.3,107,7,88.5,4107.9,59.7,1301.2,1
2181.9,55.7,4.03,180.1,51,10,51.0,4601.2,27.3,1840.5,0
2200.9,56.9,0.11,177.3,80,13,82.8,1185.0,62.9,1640.0,0
3650.9,43.3,0.06,126.7,8,17,80.5,1621.7,21.2,1311.6,0
6297.1,65.8,1.92,156.0,61,12,47.3,3435.1,86.9,1436.9,0
5183.3,84.8,0.81,78.9,97,5,55.1,4794.2,89.1,1849.7,1
3494.7,108.6,2.08,153.3,10,12,73.0,1848.2,75.0,1643.0,0
7342.2,93.4,1.42,90.9,98,0,12.8,4348.5,55.0,1258.7,0
1673.9,74.8,0.23,174.8,19,10,90.2,2777.1,39.1,1351.5,0
3505.7,116.2,7.27,62.6,14,6,79.3,4804.5,75.8,379.8,1
4396.3,97.5,0.07,166.0,67,9,32.4,1113.2,89.9,993.3,0
5472.8,114.4,5.89,65.0,55,1,98.3,4881.5,31.9,671.9,1
9422.1,82.2,1.22,182.2,61,15,26.1,2484.4,54.9,920.7,1
2396.1,60.7,7.3,95.6,56,4,92.3,4788.2,43.6,1358.3,0
6170.8,44.2,7.14,148.2,63,15,39.2,2564.1,46.8,383.4,0
